Metabolite,LE-197_1-U2,LE19-10_1-A1,LE19-10_1-A2,LE19-10_1-A3,LE19-10_1-N1,LE19-10_1-N2,LE19-10_1-N3,LE19-10_1-U1,LE19-10_1-U2,LE19-10_1-U3,LE19-197_1-A1,LE19-197_1-A2,LE19-197_1-A3,LE19-197_1-N1,LE19-197_1-N2,LE19-197_1-N3,LE19-197_1-U1,LE19-197_1-U3,PCC-7806-A1,PCC-7806-N1,PCC-7806-U1,PCC7806-A2,PCC7806-A3,PCC7806-N2,PCC7806-N3,PCC7806-U2,PCC7806-U3
728,238025.3,1143902.6,1270300.4,1292213.1,204201.42,102224.02,194183.75,862585.56,701907.25,719328.1,180305.97,81168.05,271766.12,201264.05,249050.28,123536.68,191302.73,148834.9,114845.81,322578.34,79094.98,109957.35,106017.15,410880.84,322010.94,82416.59,75932.336
60,0,1000.3164,976.90295,569.0435,1187048.8,1053409.4,1228464.8,315.28326,371.17926,525.6112,655.0482,499.53076,859.4383,338367.78,265819.66,251991.83,978.2573,0,837.4865,945472.3,569.5908,994.9149,331.28802,391835,727830.1,491.27084,469.69897
283,799544.9,173697.81,114952.56,151438.02,80966.34,44574.58,75492.15,68794.08,70983.54,49151.51,372431.78,267100.94,414885.3,704673.2,792431.25,581343,992204.3,684104.7,73311.61,66704.72,114207.74,82464.38,91604.58,103025.83,95754.36,114890.016,103396.15
364,24835.324,441716.28,1069407.9,967229.9,1845703.4,1454491.9,726123.75,234885.45,365905.28,298141.97,26136.12,37911.734,23676.414,4989.4478,97581.22,11128.344,36645.59,31121.219,2431.4832,5713.8174,8442.158,3367.8608,13020.612,18425.133,9468.184,4320.962,3849.9727
338,556252.4,75764.14,68747.82,72040.62,31516.121,4782.6274,11658.107,20049.186,35589.75,9089.957,102870.47,119474.99,305097,446318.4,36547.383,39972.723,1799808.1,303911.53,26116.016,50381.73,25744.125,26861.678,43659.336,75353.83,22657.227,15845.026,18064.988
381,449110.12,70809.33,70192.98,100204.74,65899.555,41876.734,41516.953,16041.387,8327.22,9204.505,197564.89,132757.95,158161.58,268228.38,362963.88,198888.77,694083.2,347379.28,0,0,0,0,0,0,0,0,0
334,418288.75,59485.76,40615.49,48990.188,15231.713,21916.54,1921.5295,36327.496,47288.586,31121.146,92139.99,69687.53,140901.5,20754.812,50697.574,37406.008,1699550.6,208602.6,10542.485,12013.507,46386.863,2910.8252,13206.419,23117.914,10756.484,18054.232,55442.44
398,0,2670910,3680085.2,3651820.5,3490178.2,2408344.5,3323275,2508982.5,1627323.1,2649616.2,0,0,0,0,40112.695,0,0,0,85102.086,91717.91,96605.99,57336.715,100045.13,134031.08,123848.945,129062.586,89429.27
299,697219.6,69575.64,123933.734,165982.8,20976.34,8027.4546,14710.378,232241.62,150410.84,67454.945,277530.3,187208.36,130261.9,41365.707,29794.062,14184.95,531288.44,301135.4,29320.547,669.1792,36204.69,27166.164,11170.823,0,3431.1936,77146.02,44288.164
223,323413.1,742663.94,1516642.8,1604402.4,52991.848,12565.034,44031.62,1067653.8,800190.9,1148375.2,339444.6,279027.28,325346.62,4318.4136,21386.215,12233.963,329806,143505.1,1158530.8,3469.0408,378392.7,830254.4,1211379,11693.491,8135.7275,938272.56,716035.3
276,2693.7085,119144.24,182649.55,102893.51,453791.47,240868.02,402146.47,172416.22,186943.72,140436.52,0,831.67773,671.0243,1749.6334,2172.5361,4020.8555,0,893.7416,1437.1768,8007.4863,1285.408,3923.878,4580.108,7805.7026,10936.038,3995.9385,4416.849
128,0,973.178,0,1204.1809,3613.608,5733.2725,3992.896,1723.7688,1224.5137,0,0,0,0,772.6655,1039.9008,595.5309,0,0,0,661860.94,1924.8804,0,0,1168572.1,811876.8,1292.2615,0
725,15696.516,183965.25,148991.22,103470.14,60489.848,2159.6462,48583.977,96086.92,182139.8,64510.086,26811.387,13958.699,11548.419,2544.0522,843.2971,3281.073,22174.135,11762.142,10711.2,124423.28,73956.53,16179.918,16946.72,349896.38,62008.684,27234.707,57763.32
754,0,0,0,1004.6947,72810.08,61043.33,108708.49,1108.0364,0,1589.9707,0,0,0,0,0,0,0,0,23521.709,292870.3,65996.03,17218.45,22584.738,362558.9,376586.12,75354.14,68122.25
109,13173.371,28116.756,17495.006,3696.7515,6217011,3023192.8,4346272,8255.028,40950.074,3448.817,1709.7408,2147.0454,8107.508,1956231.2,644040.9,623508.56,15380.994,26212.01,22079.1,8112572,46316.117,24596.498,8335.262,1419227.8,6198014,12089.463,22981.277
318,36204.293,161530.61,735807.8,869787.4,0,572.1347,0,568050.75,315748.72,509158.53,65104.26,57777.996,82439.64,0,0,0,52240.2,17958.69,161897.52,0,8579.632,72694.68,50131.71,0,0,15211.526,34593.652
394,116515.7,1499782.8,1832412,534497.5,0,0,0,381558.3,1111562.4,86438.445,1438.1798,87730.125,155087.14,0,0,0,0,57961.64,245653.95,984.7121,70637.77,195220.89,278234.4,10269.064,3117.2883,2935.71,73423.21
475,0,0,0,0,10887.736,7846.5,38811.633,0,0,0,0,0,0,0,2894.7732,587.69525,0,0,0,349656.4,0,0,0,390960.22,501924.8,0,0
